id_oferta,cargo,empresa,ciudad,salario_publicado,salario_mensual_base,segmento_salarial,experiencia_requerida,nivel_experiencia,educacion_minima,educacion_minima_valor,modalidad,es_remoto,es_presencial,tipo_contrato,jornada,tiempo_parcial,menciones_tecnologia
E24D1876BB33ADE661373E686DCF3405,Analista de Contabilidad / Nóminas,Llamagas,Santiago De Surco,1,4000.0,Alto,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,3
F9C32072B3E73C3661373E686DCF3405,Analista de Calidad / SSOMA,Manpower,Ate,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
63824EBEA08B9E5561373E686DCF3405,Analista de Contabilidad / Nóminas,Robocon Servicios SAC,Chorrillos,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,5
BAF3182AFB56E3EA61373E686DCF3405,Analista (General),Importante Empresa del Sector,Chancay,1,3000.0,Alto,0,Junior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
D147531EF5FF9A3761373E686DCF3405,Analista (General),Importante empresa del sector,Lurigancho,0,,,5,Senior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
31A0DE4D294F79FD61373E686DCF3405,Analista (General),CLINICA ANGLOAMERICANA,San Isidro,1,3000.0,Alto,0,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
6790ECDD460FD1C461373E686DCF3405,Analista de Marketing,Burner Control's,Lima,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato Intermitente,Completa,0,3
AC2D56481251683961373E686DCF3405,Analista de Calidad / SSOMA,Staff Representaciones S.A.,Ate,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Parcial,1,4
180BDA931AF6F9E461373E686DCF3405,Analista de TI / Sistemas,Industria Textil del Pacífico S.A.,Lima,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
E8A3A2B91F80359F61373E686DCF3405,Analista de Contabilidad / Nóminas,FRATELLI,Lima,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
C04D1A8606307D0A61373E686DCF3405,Analista de Datos / BI,Grupo Perú Alfa,Lima,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,7
3D621C5EF6783F1F61373E686DCF3405,Analista de Datos / BI,Topstrategic  S.A.C.,San Isidro,0,,,10,Lead,técnico,3,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,5
91D26698A3B70FC461373E686DCF3405,Analista (General),Manpower,Lima,0,,,0,Junior,universitario,4,Presencial,0,1,Contrato de Temporada,Completa,0,4
389E6617187AB49061373E686DCF3405,Analista de Créditos y Cobranzas,Coopac Kori,Chaclacayo,1,1130.0,Bajo,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
15D31D73E1FD422161373E686DCF3405,Analista de Créditos y Cobranzas,Coopac Kori,Lurigancho,1,1130.0,Bajo,0,Junior,técnico,3,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
FB7F76E02A9FF9D261373E686DCF3405,Analista de Créditos y Cobranzas,Coopac Kori,Ate,1,1300.0,Medio,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
31533C0DBCEB341B61373E686DCF3405,Analista de Datos / BI,Grupo Tawa,San Isidro,0,,,1,Junior,técnico,3,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,6
